م,اسم المنافسة,الجهة,الرقم المرجعي,مدة العقد,الشركة,المتبقي لإغلاق المنافسة,التصنيف,تاريخ النشر,تاريخ تسجيل الفرصة,تاريخ إغلاق المنافسة,نشاط المنافسة,مبلغ التقديم,شركة الترسية المشروع عليها,قيمة الترسية,,,,,,,,,,,,,,,,,,
1314,تامين ادوات زراعيه لبلدية محافظة عفيف,أمانة منطقة الرياض,250839005341,30 يوم,البيطرة,-85,لم يتم التقديم,11-Aug-25,13-Aug-25,27-Aug-25,"تجارة الحاصلات الزراعية
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
1315,إنشاء عدد 2 ورش ومستودعات تجهيز الذخائر بقاعدة الملك فهد الجوية بالقطاع الغربي,القوات الجوية,250739016953,18 شهر,المقاولات,-66,لم يتم التقديم,13-Aug-25,13-Aug-25,15-Sep-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
1316,توريد جهاز فحص جزيئات الهواء,مستشفى قوى الأمن بالدمام,250739016953,90 يوم,الاستدامة,-94,لن يتم التقديم,13-Aug-25,14-Aug-25,18-Aug-25,الخدمات البيئية,,,,,,,,,,,,,,,,,,,,,
1317,عمل دراسة استشارية معتمدة من قبل المركز الوطني للرقابة والإلتزام البيئي,مستشفى قوى الأمن بالدمام,250739013427,90 يوم,الاستدامة,-94,لن يتم التقديم,13-Aug-25,14-Aug-25,18-Aug-25,الخدمات البيئية,,,,,,,,,,,,,,,,,,,,,
1318,مشروع تشغيل وصيانة مسيج الإطلاق المقنن بالمحمية,محمية الملك عبدالعزيز,250840005931,_,,-98,دعوة التأهيل لاحق - تم التقديم,12-Aug-25,12-Aug-25,14-Aug-25,الخدمات البيئية,لايوجد,,,,,,,,,,,,,,,,,,,,
1319,تقديم خدمات الاعتماد البيئي وتحقيق الاستدامة والالتزام البيئي واستخراج التصاريح البيئية للمستشفيات والمراكز وللمنشآت التابعة للإدارة العامة للخدمات الصحية بوزارة الدفاع,الادارة العامة للخدمات الطبية للقوات المسلحة,250839000250,3 سنة,الاستدامة,-72,لم يتم التقديم - لم يتم التعميد,14-Aug-25,18-Aug-25,09-Sep-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
1320,منافسة عقد تشغيل وصيانة المرافق الخضراء بالمستشفيات التابعة لتجمع حائل الصحي,تجمع حائل الصحي,250739009038,5 سنة,,-64,فرص - لم يتم ترشيحها,17-Aug-25,18-Aug-25,17-Sep-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
1321,توريد مياه آبار الري الى خزانات مياه مقرات مجمع الديوان الملكي بمدينة (الرياض) عن طريق الصهاريج,المؤسسة العامة للري,250839007785,24 شهر,,-65,فرص - لم يتم ترشيحها,16-Aug-25,18-Aug-25,16-Sep-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
1322,دراسة الهيدرولوجية والتخطيط وفرز وتجزئة مستشفى عسير والمبنى التابع للجامعة ومستشفى الصحة النفسية والطب الشرعي بمحايل وظهران الجنوب وخميس مشيط ومركز صحي الضباط ومركز الرعاية المديدة وارض مركز صحي جوحان,فرع وزارة الصحة بمنطقة عسير,250839005308,12 شهر,,-81,فرص - لم يتم ترشيحها,11-Aug-25,18-Aug-25,31-Aug-25,انشطة الاستشارات الهندسية - تصميم,,,,,,,,,,,,,,,,,,,,,
1323,انشاء و تجهيز المعسكرات الحقلية و تشعيلها لصالح هيئة المساحة الجيولوجية السعودية,هيئة المساحة الجيولوجية السعودية,250239014198,12 شهر,,-64,فرص - لم يتم ترشيحها,17-Aug-25,18-Aug-25,17-Sep-25, مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
1324,مكتب استشاري لاصدار التصاريح البيئية,التجمع الصحي بمكة المكرمة,250839008631,4 شهر,الاستدامة,-78,تم التقديم - قبول العرض الفني,13-Aug-25,18-Aug-25,03-Sep-25,انشطة الاستشارات الهندسية- اشراف,"806,150.00",,,,,,,,,,,,,,,,,,,,
1325,إنشاء مفرخة أسماك المياه الداخلية,المركز الوطني لتنمية الحياة الفطرية,250839010120,10 شهر,المقاولات,-30,لن يتم التقديم,20-Aug-25,20-Aug-25,21-Oct-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة),,,,,,,,,,,,,,,,,,,,,
1326,مشروع التخلص من النفايات لبلدية قرية ابن شريم والقرى التابعة لها,أمانة منطقة الحدود الشمالية,250839009350,180 يوم,الاستدامة,-75,لم يتم التقديم,19-Aug-25,20-Aug-25,06-Sep-25,مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
1327,تجديد رخص أدوات إدارة حوكمة البيانات,صندوق التنمية الزراعية,250739019676,3 سنة,,-74,لن يتم التقديم,07-Aug-25,20-Aug-25,07-Sep-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
1328,RCU - Detailed Implementation Plan for Standards Based Ecosystem Restoration in AlUla,الهيئة الملكية لمحافظة العلا,,,البيئة,-70,تم التقديم,,,11-Sep-25,,"6,533,000.50",,,,,,,,,,,,,,,,,,,,
1329,Camel Care Services,الهيئة الملكية لمحافظة العلا,SR208919444,1 سنة,البيطرة,-85,تم التقديم,,,27-Aug-25,,8.482.803.42,,,,,,,,,,,,,,,,,,,,
1330,شراء وتوريد معدات لضغط النفايات وإعادة التدوير,برنامج رأس الخير,250839008901,6 شهر,,-70,فرص - لم يتم ترشيحها,21-Aug-25,21-Aug-25,11-Sep-25,تجارة السيارات والمعدات والماكينات,,,,,,,,,,,,,,,,,,,,,
1331,Provision of City-wide Consultancy / Contracting Services for Fauna Survey & Translocation,Qiddiya,,,,-73,تم التقديم,,,08-Sep-25,,"15,990,000",,,,,,,,,,,,,,,,,,,,
1332,مستلزمات الصيانة المباشرة (الحدائق),أمانة محافظة الأحساء,250839002674,6 شهر,,-71,فرص - لم يتم ترشيحها,20-Aug-25,24-Aug-25,10-Sep-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
1333,صيانة أرضيات مسطحات خضراء من العشب الصناعي,رئاسة هيئة الأركان العامة,250839009917,180 يوم,,-74,فرص - لم يتم ترشيحها,20-Aug-25,24-Aug-25,07-Sep-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
1334,تأمين اعلاف لنادي الفروسية,جامعة الملك عبدالعزيز,250839009706,15 يوم,البيطرة,-76,لم يتم التقديم,19-Aug-25,24-Aug-25,05-Sep-25,أنشطة بيطرية,,,,,,,,,,,,,,,,,,,,,
1335,مشروع تأهيل وتطوير حدائق النصية والزبارة وشراف والإسكان,أمانة منطقة حائل,250839006256,1095 يوم,,-76,فرص - لم يتم ترشيحها,19-Aug-25,24-Aug-25,05-Sep-25,"تجارة مواد البناء والأدوات الكهربائية والصحية
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة
إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
1336,تقديم أعمال تشغيل وصيانة خدمات البستنة بمستشفى جامعة الامام عبد الرحمن بن فيصل والمرافق التابعة له بالمدينة الطبية الأكاديمية (1448 هـ – 1449 هـ),جامعة الإمام عبدالرحمن بن فيصل,250739018936,3 سنة,,-62,فرص - لم يتم ترشيحها,19-Aug-25,24-Aug-25,19-Sep-25,"أنشطة زراعية
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
1337,نقل وايواء وإعاشة الماشية السائبة في المواقع المخالفة بمنطقة تبوك,وزارة البيئة والمياه والزراعة,250839007515,12 شهر,البيطرة,-80,لم يتم التقديم,14-Aug-25,24-Aug-25,01-Sep-25,أنشطة بيطرية,,,,,,,,,,,,,,,,,,,,,
1338,توريد وتركيب ارفف ودواليب ووحدات تخزين لمستشفى الملك عبد الله التخصصي التابع للشؤون الصحية بوزارة الحرس الوطني بمنطقة القصيم,الشؤون الصحیة بوزارة الحرس الوطني,250839011809,30 يوم,المقاولات,-75,لن يتم التقديم,21-Aug-25,24-Aug-25,06-Sep-25,الخدمات البيئية,,,,,,,,,,,,,,,,,,,,,
1339,تأمين احتياجات ومتطلبات المراقبين الصحيين الإدارة العامة للسلامة للقوات المسلحة,رئاسة هيئة الأركان العامة,250839008368,60 يوم,الاستدامة,-77,لم يتم التقديم,19-Aug-25,24-Aug-25,04-Sep-25,"تجارة الأدوات والآلات والأجهزة
الخدمات البيئية",,,,,,,,,,,,,,,,,,,,,
1340,تأمين احتياجات ومتطلبات الإدارة العامة للسلامة للقوات المسلحة,رئاسة هيئة الأركان العامة,250839008338,30 يوم,الاستدامة,-77,لن يتم التقديم,19-Aug-25,24-Aug-25,04-Sep-25,"تجارة الأدوات والآلات والأجهزة
أنشطة الأمن و السلامة
الخدمات البيئية",,,,,,,,,,,,,,,,,,,,,
1341,منافسة تأمين خدمات استشارية لتطوير الخطة الاستراتيجية لمدينة الملك عبدالله الطبية بالعاصمة المقدسة,مدينة الملك عبدالله الطبية بالعاصمة المقدسة,250839005345,6 شهر,,-80,فرص - لم يتم ترشيحها,13-Aug-25,24-Aug-25,01-Sep-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
1342,مشروع تأسيس وتفعيل مكتب البنية المؤسسية ورفع مستوى التحول الرقمي,مركز الامير سلطان للدراسات والبحوث الدفاعية,250739013086,18 شهر,,-83,فرص - لم يتم ترشيحها,13-Aug-25,24-Aug-25,29-Aug-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
1343,منافسة خدمات استشارية لدعم قياس التحول الرقمي وتشغيل مكتب البنية المؤسسية 2026-2027-2028 بجامعة الملك سعود بن عبدالعزيز للعلوم الصحية ذات الإعلان رقم كاساو/2025/040,جامعة الملك سعود بن عبد العزیز للعلوم الصحیة,250739016577,3 سنة,,-74,فرص - لم يتم ترشيحها,27-Jul-25,24-Aug-25,07-Sep-25,"تقنية المعلومات
الأنشطة الاستشارية الأخرى",,,,,,,,,,,,,,,,,,,,,
1344,اتفاقية إطارية لتقييم العقارات الداخلية - اتفاقية اطارية مفتوحة -,الهيئة العامة لعقارات الدولة,250839004872,18 شهر,,-84,فرص - لم يتم ترشيحها,10-Aug-25,24-Aug-25,28-Aug-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
1345,خدمات النظافة ومكافحة الحشرات لمبنى التقنية لوزارة الخارجية بالرياض,وزارة الخارجية - الديوان العام,250839005963,24 شهر,البيطرة,-72,لن يتم التقديم,24-Aug-25,24-Aug-25,09-Sep-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
1346,تقديم خدمة زراعة مع إزالة التربة القديمة لمهبط الهليكوبتر بمستشفى الملك عبدالعزيز بالاحساء التابع للشؤون الصحية بوزارة الحرس الوطني,الشؤون الصحیة بوزارة الحرس الوطني,250839011839,60 يوم,البيئة,-72,لم يتم التقديم,24-Aug-25,24-Aug-25,09-Sep-25,الخدمات البيئية,,,,,,,,,,,,,,,,,,,,,
1347,توريد أشجار لتحسين المشهد الحضري بمحافظة,بلدية عقلة الصقور,250839012512,14 يوم,,-85,فرص - لم يتم ترشيحها,24-Aug-25,24-Aug-25,27-Aug-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
1348,توريد اجهزة رش لبلدية عفيف,أمانة منطقة الرياض,250839009378,15 يوم,,-82,فرص - لم يتم ترشيحها,24-Aug-25,24-Aug-25,30-Aug-25,"تجارة الأدوات والآلات والأجهزة
تجارة مواد البناء والأدوات الكهربائية والصحية
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
1349,توريد مبيدات حشرية لبلدية عفيف,أمانة منطقة الرياض,250839009170,15 يوم,,-82,فرص - لم يتم ترشيحها,24-Aug-25,24-Aug-25,30-Aug-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
1350,توريد أسمدة ومبيدات زراعية ببلدية صمخ,بلدية صمخ,250839010965,10 يوم,,-82,فرص - لم يتم ترشيحها,24-Aug-25,24-Aug-25,30-Aug-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
1351,صيانه حديقة الشفاء وحديقة نمران (بلديه محافظة بيشة),بلدية محافظة بيشة,250839010814,150 يوم,,-76,فرص - لم يتم ترشيحها,20-Aug-25,24-Aug-25,05-Sep-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
1352,مشروع تشغيل وصيانة ونظافة مباني ومنشاَت إدارية لهيئة تطوير محمية الملك سلمان بن عبدالعزيز الملكية,محمية الملك سلمان بن عبدالعزيز,250839008558,12 شهر,,-76,فرص - لم يتم ترشيحها,18-Aug-25,24-Aug-25,05-Sep-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
1353,مشروع خدمات الطباعة المدارة للمركز الرئيسي,محمية الملك سلمان بن عبدالعزيز,250839010340,36 شهر,,-76,فرص - لم يتم ترشيحها,21-Aug-25,24-Aug-25,05-Sep-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
1354,مشروع تطوير بيئة التعافي من الكوارث والاتاحة العالية للأنظمة,المركز الوطني للأرصاد,250839000342,18 شهر,,-72,فرص - لم يتم ترشيحها,05-Aug-25,24-Aug-25,09-Sep-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
1355,صيانة وتشغيل ادارة البنية التحتية التقنية بدارة لملك عبدالعزيز,دارة الملك عبدالعزيز,250839003808,3 سنة,,-64,فرص - لم يتم ترشيحها,17-Aug-25,24-Aug-25,17-Sep-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
1356,اعمال انشائية لاعادة تأهيل و تطوير المركز الثقافي النسائي بمدينة الملك خالد العسكرية,القوات البرية,250839011418,180 يوم,المقاولات,-64,لن يتم التقديم,17-Aug-25,24-Aug-25,17-Sep-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
1357,حفر بئر و انشاء شيب و خزان مياه,القوات البرية,250839011403,180 يوم,,-72,فرص - لم يتم ترشيحها,24-Aug-25,24-Aug-25,09-Sep-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
1358,اعادة تأهيل الطريق المودي لحديقة الامير سلطان بمدينة الملك العسكرية,القوات البرية,250839011412,90 يوم,,-72,فرص - لم يتم ترشيحها,24-Aug-25,24-Aug-25,09-Sep-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
1359,توريد وتركيب أعمدة إنارة طرق وديكوريه وتجميلية لمعهد طيران القوات البرية بالقصيم,القوات البرية,250839012055,150 يوم,,-72,فرص - لم يتم ترشيحها,24-Aug-25,24-Aug-25,09-Sep-25,"تجارة مواد البناء والأدوات الكهربائية والصحية
إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء",,,,,,,,,,,,,,,,,,,,,
1360,اعمال رصف بجانبي الطريق الرابط بين دوار الشهداء و البوابة رقم ( 6 ) بمدينة الملك خالد العسكرية,القوات البرية,250839011421,120 يوم,,-72,فرص - لم يتم ترشيحها,24-Aug-25,24-Aug-25,09-Sep-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
1361,مشروع تجهيز الصالة الرياضية بمخيم قيادة المنطقة الشمالية,القوات البرية,250839011415,45 يوم,,-72,فرص - لم يتم ترشيحها,24-Aug-25,24-Aug-25,09-Sep-25,الخدمات الرياضية,,,,,,,,,,,,,,,,,,,,,
1362,اعادة تأهيل للإستاد الرياضي بكلية الملك عبد العزيز الحربية,القوات البرية,250739006162,12 شهر,المقاولات,-60,لن يتم التقديم,21-Aug-25,24-Aug-25,21-Sep-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
1363,تأمين الواح طاقة شمسية وبطاريات ومواد كهربائية متنوعه لأعمال الصيانة والتأهيل وتجهيز الميادين بالشمالية الغربية,القوات البرية,250839010750,45 يوم,,-80,فرص - لم يتم ترشيحها,20-Aug-25,24-Aug-25,01-Sep-25,تجارة مواد البناء والأدوات الكهربائية والصحية,,,,,,,,,,,,,,,,,,,,,
1364,استبدال وحدات تكييف مركزية,القوات البرية,250839009796,120 يوم,,-76,فرص - لم يتم ترشيحها,20-Aug-25,24-Aug-25,05-Sep-25,إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء,,,,,,,,,,,,,,,,,,,,,
1365,اعمال توريد و انشاء ابراج مراقبة لقوات الحدالشمالي,القوات البرية,250839010542,120 يوم,,-76,فرص - لم يتم ترشيحها,20-Aug-25,24-Aug-25,05-Sep-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
1366,صيانة محطة الصرف الصحي بسكن الضباط بالمنطقة الوسطى,القوات البرية,250839009976,60 يوم,,-77,فرص - لم يتم ترشيحها,19-Aug-25,24-Aug-25,04-Sep-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
1367,اعادة تجهيز وتأهيل البنية التحتية واعمال مواقع عامة متفرقة بوحدات المنطقة الجنوبية,القوات البرية,250839010332,120 يوم,,-76,فرص - لم يتم ترشيحها,19-Aug-25,24-Aug-25,05-Sep-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق,,,,,,,,,,,,,,,,,,,,,
1368,مشروع انشاء نادي الضباط ونادي الافراد بالمنطقة الغربية,القوات البرية,250839005269,300 يوم,المقاولات,-69,لن يتم التقديم,12-Aug-25,24-Aug-25,12-Sep-25," مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
1369,توريد وتركيب مولدات كهربائية بمدينة الملك فيصل العسكرية,القوات البرية,250839004447,300 يوم,,-69,فرص - لم يتم ترشيحها,10-Aug-25,24-Aug-25,12-Sep-25,تجارة مواد البناء والأدوات الكهربائية والصحية,,,,,,,,,,,,,,,,,,,,,
1370,مشروع تدعيم العناصر الانشائية لسكن و مواقف الضباط بالمنطقه(13) بمدينة الملك خالد العسكرية,القوات البرية,250839000912,330 يوم,,-74,فرص - لم يتم ترشيحها,07-Aug-25,24-Aug-25,07-Sep-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
1371,تنظيف الأودية من المخلفات والحشائش بمدينة الرياض,أمانة منطقة الرياض,250839005796,36 شهر,,-67,فرص - لم يتم ترشيحها,14-Aug-25,24-Aug-25,14-Sep-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
1372,إنشاء وتجهيز وتأثيث مبنى القيادة بخميس مشيط,قوات الدفاع الجوي,250739020193,540 يوم,المقاولات,-46,لن يتم التقديم,,,05-Oct-25,,,,,,,,,,,,,,,,,,,,,,
1373,تنفيذ الصالة الرياضية للطالبات بالمقر الرئيسي بجامعة القصيم,جامعة القصيم,250839005550,730 يوم,المقاولات,-68,لن يتم التقديم,13-Aug-25,24-Aug-25,13-Sep-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
1374,تنفيذ أبراج مراقبة بمحمية الإمام سعود بن عبد العزيز الملكية,القوات الخاصة للأمن البيئي,250839011339,60 يوم,,-71,فرص - لم يتم ترشيحها,25-Aug-25,25-Aug-25,10-Sep-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
1375,استبدال سور نادي الخليج,وزارة الرياضة,250839010023,180 يوم,,-71,فرص - لم يتم ترشيحها,19-Aug-25,24-Aug-25,10-Sep-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
1376,إنشاء غرف اجتماعات ومستودع وورشة للصيانة لمبنى الإدارة العامة لتقنية وأمن المعلومات.,وزارة الحرس الوطني,250839012538,90 يوم,المقاولات,-72,لن يتم التقديم,,,09-Sep-25,,,,,,,,,,,,,,,,,,,,,,
1377,انشاء اسوار وبوابات المدينة الجامعية بالليث,جامعة أم القرى,250739005035,2 سنة,,-73,فرص - لم يتم ترشيحها,,,08-Sep-25,,,,,,,,,,,,,,,,,,,,,,
1378,تطوير مركز صحي العزيزية,التجمع الصحي بمكة المكرمة,250739019746,3 شهر,,-73,فرص - لم يتم ترشيحها,,,08-Sep-25,,,,,,,,,,,,,,,,,,,,,,
1379,إنشاء وإعادة تأهيل مستودع الأسلحة والذخيرة ومنصة الميدان بالقوة الخاصة بالبرشاعة,حرس الحدود,250839009372,12 شهر,,-73,فرص - لم يتم ترشيحها,,,08-Sep-25,,,,,,,,,,,,,,,,,,,,,,
1380,Ecology Reinstatement Plan,Al-Rashid Trading & Contracting Co.,,,,-45981,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,مشروع تشغيل مردم تبوك لمخلفات الهدم والبناء,,,,,-45981,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,إنشاء مفارخ المياه المالحة للأسماك والروبيان,المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,250839013948,30 شهر,المقاولات,-24,لن يتم التقديم,26-Aug-25,26-Aug-25,27-Oct-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة),,,,,,,,,,,,,,,,,,,,,
1383,Imam Truki / Framework agreement of Animal Transfer ,,,,البيطرة,-102,فرص انتهى وقت التقديم لها,,,10-Aug-25,,,,,,,,,,,,,,,,,,,,,,
1384,Harkus Island,,,,,-118,فرص انتهى وقت التقديم لها,,,25-Jul-25,,,,,,,,,,,,,,,,,,,,,,
1385,Al Wasmeh Project,,,,البيطرة,-80,فرص انتهى وقت التقديم لها,,,01-Sep-25,,,,,,,,,,,,,,,,,,,,,,
1386,Cost File of the Mammals and Houbara Reintroduction Project – King Salman Reserve,,,,البيطرة,-45981,فرص انتهى وقت التقديم لها,,,,,,,,,,,,,,,,,,,,,,,,,
1387,Dhahran Comprehensive Biodiversity Study,Aramco,,,,-45981,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,ترميم جامع الأمير عبدالإله بن عبدالعزيز في مدينة بريدة بمنطقة القصيم,وزارة الشـؤون الاسلامية والدعوة والارشاد,250539018610,1 سنة,المقاولات,-69,تم التقديم - فتح العروض الفنية,26-Aug-25,31-Aug-25,12-Sep-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)","4,728,365.30",,,,,,,,,,,,,,,,,,,,
1389,مكافحة الحشرات والقوارض والقطط والحمام ورش المبيدات لمجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,وزارة الشـؤون الاسلامية والدعوة والارشاد,250839015756,1 سنة,البيطرة,-73,لم يتم التقديم - لم يتم استلام العرض,28-Aug-25,31-Aug-25,08-Sep-25,الخدمات البيئية,,,,,,,,,,,,,,,,,,,,,
1390,توريد وتشغيل المختبرات المتنقلة,المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,250839014927,3 سنة,البيئة,-53,تم التقديم - قبول العرض الفني,28-Aug-25,31-Aug-25,28-Sep-25,الخدمات البيئية,"22,474,450",,,,,,,,,,,,,,,,,,,,
1391,إعادة تأهيل الحديقة الداخلية للمبنى الرئيسي لبلدية محافظة الخرج,أمانة منطقة الرياض,250839006896,10 يوم,المقاولات,-68,لن يتم التقديم,28-Aug-25,31-Aug-25,13-Sep-25,الخدمات البيئية,,,,,,,,,,,,,,,,,,,,,
1392,ترميم مبنى قيادة مجموعة الطيران البحري بقاعدة الملك فيصل البحرية,القوات البحرية,250839005891,120 يوم,المقاولات,-51,تم التقديم,30-Aug-25,31-Aug-25,30-Sep-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)","10,302,952.35",,,,,,,,,,,,,,,,,,,,
1393,مسوحات الطلب السياحي 2026 - 2028,وزارة السياحة,250739009248,40 شهر,السياحة,-53,لم يتم التقديم,24-Aug-25,31-Aug-25,28-Sep-25,أنشطة سياحية,,,,,,,,,,,,,,,,,,,,,
1394,توريد وتركيب إنارات في النفود الكبير,محمية الإمام تركي بن عبدالله,250839007457,90 يوم,,-72,فرص - لم يتم ترشيحها,24-Aug-25,31-Aug-25,09-Sep-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
1395,توفير أجهزة التواصل اللاسلكي عبر الاقمار الصناعية (PT),محمية الملك عبدالعزيز,250839003172,22 شهر,حلول الأبعاد,-70,لن يتم التقديم,26-Aug-25,31-Aug-25,11-Sep-25,"الإتصالات
تقنية المعلومات",,,,,,,,,,,,,,,,,,,,,
1396,مشروع تجهيزات البنية التحتية الرقمية في المناطق (المرحلة الأولى),محمية الملك سلمان بن عبدالعزيز,250839015895,3 شهر,,-53,فرص - لم يتم ترشيحها,28-Aug-25,31-Aug-25,28-Sep-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
1397,إنشاء غرفة MRUM حسب مواصفات شركة السعودية للكهرباء وغرفة Switchgear وتمديدات كهربائية في الجوف جنوب الأضارع بحمية الملك سلمان بن عبدالعزيز الملكية,محمية الملك سلمان بن عبدالعزيز,250839014438,10 شهر,,-54,فرص - لم يتم ترشيحها,27-Aug-25,31-Aug-25,27-Sep-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
1398,مشروع تجديد وتوفير التراخيص والبرمجيات والأنظمة,محمية الملك سلمان بن عبدالعزيز,250839010353,6 شهر,حلول الأبعاد,-60,لن يتم التقديم,21-Aug-25,31-Aug-25,21-Sep-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
1399,تقديم الخدمات الاستشارية لتطوير ادارة الالتزام البيئي وبناء القدرات,المؤسسة العامة للري,250839014755,36 شهر,الاستدامة,-39,تم التقديم - فتح العروض الفنية,28-Aug-25,31-Aug-25,12-Oct-25,الأنشطة الاستشارية الأخرى,"16,120,700.00",,,,,,,,,,,,,,,,,,,,
1400,تصميم مباني إدارية وسكنية بالمنطقة الجنوبية (نجران/جازان),القوات البرية,250839016067,75 يوم,,-53,فرص - لم يتم ترشيحها,28-Aug-25,31-Aug-25,28-Sep-25,انشطة الاستشارات الهندسية - تصميم,,,,,,,,,,,,,,,,,,,,,
1401,أعمال إعداد الدراسة الهيدرولوجية لارض جامعة الملك خالد بسراة عبيدة وارض الجامعة ببارق,جامعة الملك خالد,250839012267,90 يوم,حلول الأبعاد,-65,لن يتم التقديم,26-Aug-25,31-Aug-25,16-Sep-25,انشطة الاستشارات الهندسية - تصميم,,,,,,,,,,,,,,,,,,,,,
1402,تأهيل برامج ومؤسسات التعليم السياحي للحصول على أبرز الاعتمادات العالمية في الجودة,وزارة السياحة,250839014214,12 شهر,الاستدامة,-70,لن يتم التقديم,26-Aug-25,31-Aug-25,11-Sep-25, أنشطة التدريب,,,,,,,,,,,,,,,,,,,,,
1403,مركز اتصال البلاغات البيئية 988,المركز الوطني للرقابة على الالتزام البيئي,250839010055,24 شهر,,-56,فرص - لم يتم ترشيحها,25-Aug-25,31-Aug-25,25-Sep-25,الإتصالات,,,,,,,,,,,,,,,,,,,,,
